Table名稱,市場,面向,類別,樣本
投信基金其他資訊揭露(債券型),台灣,籌碼面,交易,投信基金
債券中華信評信用評等,台灣,基本面,機構評等,信評
興櫃日券商分點排行Top15,台灣,籌碼面,券商,興櫃股票
投信公司持股明細(查個股),台灣,籌碼面,"交易, 持股",投信基金
港股IFRS半年報(總表),香港,基本面,"財報, 總表",上市櫃股票
陸股停復牌提示表,中國,基本面,公告事件,上市櫃股票
券商分點進出個股鉅額明細,台灣,籌碼面,"券商, 鉅額",上市櫃股票
滬港通餘額,中國,籌碼面,交易,上市櫃股票
公開發行月董監持股與設質明細,台灣,基本面,"董監, 股權結構",公開發行股票
金融業月盈餘比較表,台灣,基本面,"財報, 金融, 盈餘",金融業股票
週常用技術指標表(非還原),台灣,技術面,"交易, 指標",上市櫃股票
興櫃週集保戶股權分散統計表,台灣,基本面,股權結構,興櫃股票
台灣證券暨期貨交易統計數據,台灣,基本面,"統計數據, 證券",總經
興櫃公開申購明細,台灣,基本面,公告事件,興櫃股票
季IFRS財報(部門別資訊統計),台灣,基本面,"財報, 部門別, 營運",上市櫃股票
日券商分點分價排行Top15,台灣,籌碼面,"券商, 分點分價",上市櫃股票
月申報轉讓統計表,台灣,基本面,"股權結構, 轉讓",上市櫃股票
自營商進出週報表(查個股),台灣,籌碼面,"三大法人, 自營商",上市櫃股票
興櫃月產銷組合(依項目),台灣,基本面,"財報, 產銷",興櫃股票
公開發行月營收比較表,台灣,基本面,"財報, 營收",公開發行股票
基金中華信評信用評等,台灣,基本面,機構評等,信評
台灣工商業統計數據,台灣,基本面,"統計數據, 工商",總經
自營商標的權證金額統計,台灣,籌碼面,"三大法人, 自營商",權證
選擇權盤後交易基本資料,台灣,基本面,基本資料,選擇權
季IFRS財報總表(金融)–現金流量累計,台灣,基本面,"財報, 金融, 現金流量",金融業股票
台灣物價統計數據,台灣,基本面,"物價, 統計數據",總經
興櫃年IFRS財報(現金流量),台灣,基本面,"財報, 現金流量",興櫃股票
公開申購明細,台灣,基本面,交易,上市櫃股票
陸股季CAS合併財報(資產負債),中國,基本面,"財報, 資產負債",上市櫃股票
美股日股利政策表,美國,基本面,股利,上市櫃股票
三大法人買賣轉交換債彙總,台灣,籌碼面,三大法人,債券
全權委託投資統計表,台灣,籌碼面,交易,全權委託
